product_id,image_url,thumbnail_url,thumbnails,image_order
0203bd95-c99a-4dd6-92f4-929d4c941ef1,https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_th__41_.jpg,,"{""mobile"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_mobile_190x153.jpg"", ""tablet"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_tablet_300x230.jpg"", ""desktop"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_desktop_320x260.jpg"", ""minithumb"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_minithumb_40x40.jpg""}",0
0203bd95-c99a-4dd6-92f4-929d4c941ef1,https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_th__43_.jpg,,"{""mobile"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_mobile_190x153.jpg"", ""tablet"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_tablet_300x230.jpg"", ""desktop"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_desktop_320x260.jpg"", ""minithumb"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_minithumb_40x40.jpg""}",0
0203bd95-c99a-4dd6-92f4-929d4c941ef1,https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_th__42_.jpg,,"{""mobile"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_mobile_190x153.jpg"", ""tablet"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_tablet_300x230.jpg"", ""desktop"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_desktop_320x260.jpg"", ""minithumb"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_minithumb_40x40.jpg""}",0
0203bd95-c99a-4dd6-92f4-929d4c941ef1,https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_th.jpg,,"{""mobile"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_mobile_190x153.jpg"", ""tablet"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_tablet_300x230.jpg"", ""desktop"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_desktop_320x260.jpg"", ""minithumb"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_minithumb_40x40.jpg""}",0
0203bd95-c99a-4dd6-92f4-929d4c941ef1,https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_th__39_.jpg,,"{""mobile"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_mobile_190x153.jpg"", ""tablet"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_tablet_300x230.jpg"", ""desktop"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_desktop_320x260.jpg"", ""minithumb"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0203bd95-c99a-4dd6-92f4-929d4c941ef1/1754164736036_minithumb_40x40.jpg""}",0
0d03e5b0-a2bf-4818-b571-8f1c95861228,https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images/e9029faf-6c7a-44b9-80f2-e33bbef06948/0d03e5b0-a2bf-4818-b571-8f1c95861228/1753842233796_th__2_.jpg,,"{""mobile"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0d03e5b0-a2bf-4818-b571-8f1c95861228/1753842233796_mobile_190x153.jpg"", ""tablet"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0d03e5b0-a2bf-4818-b571-8f1c95861228/1753842233796_tablet_300x230.jpg"", ""desktop"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0d03e5b0-a2bf-4818-b571-8f1c95861228/1753842233796_desktop_320x260.jpg"", ""minithumb"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/0d03e5b0-a2bf-4818-b571-8f1c95861228/1753842233796_minithumb_40x40.jpg""}",0
12001566-ee8e-4ce3-be8d-ffa5ba229b78,https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images/771c0da4-19f7-4d44-a29d-3f347621b893/12001566-ee8e-4ce3-be8d-ffa5ba229b78/1755201125914_Calefont2.png,,"{""mobile"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/771c0da4-19f7-4d44-a29d-3f347621b893/12001566-ee8e-4ce3-be8d-ffa5ba229b78/1755201125914_mobile_190x153.jpg"", ""tablet"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/771c0da4-19f7-4d44-a29d-3f347621b893/12001566-ee8e-4ce3-be8d-ffa5ba229b78/1755201125914_tablet_300x230.jpg"", ""desktop"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/771c0da4-19f7-4d44-a29d-3f347621b893/12001566-ee8e-4ce3-be8d-ffa5ba229b78/1755201125914_desktop_320x260.jpg"", ""minithumb"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/771c0da4-19f7-4d44-a29d-3f347621b893/12001566-ee8e-4ce3-be8d-ffa5ba229b78/1755201125914_minithumb_40x40.jpg""}",0
17b8ac47-f830-44f8-b15a-fb285b300301,https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images/20e7a348-66b6-4824-b059-2c67c5e6a49c/17b8ac47-f830-44f8-b15a-fb285b300301/1754006865604_Screenshot_2025-06-04_213428.png,,"{""mobile"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/20e7a348-66b6-4824-b059-2c67c5e6a49c/17b8ac47-f830-44f8-b15a-fb285b300301/1754006865604_mobile_190x153.jpg"", ""tablet"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/20e7a348-66b6-4824-b059-2c67c5e6a49c/17b8ac47-f830-44f8-b15a-fb285b300301/1754006865604_tablet_300x230.jpg"", ""desktop"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/20e7a348-66b6-4824-b059-2c67c5e6a49c/17b8ac47-f830-44f8-b15a-fb285b300301/1754006865604_desktop_320x260.jpg"", ""minithumb"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/20e7a348-66b6-4824-b059-2c67c5e6a49c/17b8ac47-f830-44f8-b15a-fb285b300301/1754006865604_minithumb_40x40.jpg""}",0
33fee970-39c3-4c72-afe5-c44714a47f7c,https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images/e9029faf-6c7a-44b9-80f2-e33bbef06948/33fee970-39c3-4c72-afe5-c44714a47f7c/1754092851720_th__39_.jpg,,"{""mobile"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/33fee970-39c3-4c72-afe5-c44714a47f7c/1754092851720_mobile_190x153.jpg"", ""tablet"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/33fee970-39c3-4c72-afe5-c44714a47f7c/1754092851720_tablet_300x230.jpg"", ""desktop"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/33fee970-39c3-4c72-afe5-c44714a47f7c/1754092851720_desktop_320x260.jpg"", ""minithumb"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/33fee970-39c3-4c72-afe5-c44714a47f7c/1754092851720_minithumb_40x40.jpg""}",0
355e4375-7b66-4623-b196-c685fc864669,https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images/e9029faf-6c7a-44b9-80f2-e33bbef06948/355e4375-7b66-4623-b196-c685fc864669/1754172385896_th__26_.jpg,,"{""mobile"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/355e4375-7b66-4623-b196-c685fc864669/1754172385896_mobile_190x153.jpg"", ""tablet"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/355e4375-7b66-4623-b196-c685fc864669/1754172385896_tablet_300x230.jpg"", ""desktop"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/355e4375-7b66-4623-b196-c685fc864669/1754172385896_desktop_320x260.jpg"", ""minithumb"": ""https://clbngnjetipglkikondm.supabase.co/storage/v1/object/public/product-images-thumbnails/e9029faf-6c7a-44b9-80f2-e33bbef06948/355e4375-7b66-4623-b196-c685fc864669/1754172385896_minithumb_40x40.jpg""}",0
